pair,frame,rg,h,l,c1,c2,c3,supp,o_s,p_s,obv1,obv2,obv3,rsi1,rsi2,rsi3,natr,cyc,result
GBP_JPY,H4,34,184.536,183.571,183.836,184.28,184.569,183.836,0.001147088811194224,-0.05872238349884845,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.70281946491123,44.47301619910196,47.95545200793745,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,35,184.536,183.571,183.836,184.28,184.569,183.836,0.002518599657872737,-0.05691960784313381,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.35966296002044,44.09830933466646,47.55902622478944,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,36,184.536,183.571,183.836,184.28,184.569,183.836,0.0033033578108338513,-0.05559510939511017,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.14119672107784,43.876247646064016,47.33743807046832,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,37,184.536,183.571,183.836,184.28,184.569,183.836,0.004557910638673997,-0.052939544807967094,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.97516739691109,44.777006702395056,48.2823966768532,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,38,184.536,183.571,183.836,184.28,184.569,183.836,0.006580590161394963,-0.04979943100995824,1.5207340170696917,1.7612581020047908,1.8907478747590152,40.2766469429161,45.116257081449746,48.649431073123985,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,39,184.536,183.571,183.836,184.28,184.569,183.836,0.009077453856478918,-0.04378825910931187,1.5207340170696917,1.7612581020047908,1.8907478747590152,42.084536336464396,46.99770673915262,50.565712974428635,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,40,184.536,183.571,183.836,184.28,184.569,183.836,0.011475826781305397,-0.03768433395872189,1.5207340170696917,1.7612581020047908,1.8907478747590152,42.24600890295175,47.17520069975583,50.75447125635327,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,41,184.536,183.571,183.836,184.28,184.569,183.836,0.013643041114387622,-0.03196881533100638,1.5207340170696917,1.7612581020047908,1.8907478747590152,42.147809261354695,47.086564017745594,50.67554424643791,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,42,184.536,183.571,183.836,184.28,184.569,183.836,0.015336372745890144,-0.027463819787697154,1.5207340170696917,1.7612581020047908,1.8907478747590152,41.62874082677442,46.513094719813154,50.06338838646168,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,43,184.536,183.571,183.836,184.28,184.569,183.836,0.016513772453010084,-0.02405844155844218,1.5207340170696917,1.7612581020047908,1.8907478747590152,41.13229607011486,45.96255594018738,49.47407835742963,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,44,184.536,183.571,183.836,184.28,184.569,183.836,0.017081796474253397,-0.022693587033119505,1.5207340170696917,1.7612581020047908,1.8907478747590152,40.29229227869689,44.97570739285185,48.37418597023932,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,45,184.536,183.571,183.836,184.28,184.569,183.836,0.017295130249204548,-0.02203992094861528,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.91551576581202,44.561729960920815,47.93407516336198,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,46,184.536,183.571,183.836,184.28,184.569,183.836,0.01722620775216626,-0.021956213382664,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.61954487938787,44.23797393547334,47.591023960232945,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,47,184.536,183.571,183.836,184.28,184.569,183.836,0.017203400090323895,-0.021537118408882738,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.68086657539567,44.3239849384116,47.697263945225174,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,48,184.536,183.571,183.836,184.28,184.569,183.836,0.017049990901398204,-0.02119496309162382,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.590933853731926,44.24692745153955,47.63265164330731,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,49,184.536,183.571,183.836,184.28,184.569,183.836,0.016970688784758593,-0.020752959183672235,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.5646936355503,44.238078920243225,47.639169096416374,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,50,184.536,183.571,183.836,184.28,184.569,183.836,0.016587989074935947,-0.020854261704681694,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.331310924826,43.977740176994935,47.35929409697276,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,51,184.536,183.571,183.836,184.28,184.569,183.836,0.016073209270150074,-0.02133131221719717,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.17407395297402,43.80525641488711,47.17615664849915,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,52,184.536,183.571,183.836,184.28,184.569,183.836,0.01576784103791471,-0.021539144540251496,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.23705989884823,43.88805817186787,47.2750311662482,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,53,184.536,183.571,183.836,184.28,184.569,183.836,0.015295981728083495,-0.021708514755685422,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.269491053388286,43.93642880775933,47.33662701447828,0.3347913736039596,1.2582893140609552,0
GBP_JPY,H4,54,184.536,183.571,183.836,184.28,184.569,183.836,0.014956464323911992,-0.021258319039452078,1.5207340170696917,1.7612581020047908,1.8907478747590152,39.54335105753476,44.2347898462601,47.65176452254114,0.3347913736039596,1.2582893140609552,0
